RestaurantName,Category,Pricing,Locality,DiningRating,DiningReviewCount,DeliveryRatingCount
Ikk Panjab,"North Indian, Street Food, Chinese, Mughlai, Desserts, Beverages",1200," Rajouri Garden, New Delhi",4.4,1057,679
Black Bottle + Kitchen,"Finger Food, Italian, Continental, Beverages",1900," Sector 63, Noida",4.4,2227,0
Rustique,"Cafe, Bakery, Desserts, Italian, Beverages",1500," Essex Farms, Adchini, New Delhi",4.4,1304,16
Drums of Heaven,"Chinese, Thai, Asian, Seafood, Desserts, Beverages",1700," Green Park, New Delhi",4.4,898,2058
Master Of Malts,"North Indian, Chinese, Continental, Fast Food, Salad, Beverages",1600," Connaught Place, New Delhi",4.4,2378,0
Soho Pizzeria,Pizza,1400," Saket, New Delhi",4.4,1253,70
Barrack 62 The Gastro Pub,"North Indian, Continental, Fast Food, Beverages",1600," Sector 62, Noida",4.4,1440,0
"C'est La Vie - Pizzas, Pastas & Burgers","Cafe, Pasta, Pizza, Continental, Beverages, Bakery, Desserts, Burger",1100," Sector 50, Gurgaon",4.4,849,632
Coffee Bond,"Cafe, Pizza, Fast Food, Salad, Sandwich, Burger, Desserts, Beverages",900," M Block Market, Greater Kailash 1 (GK1), New Delhi",4.4,1438,2797
Sambookas,"Cafe, Italian, Mexican, North Indian, Chinese, Desserts, Beverages",900," Delhi University-GTB Nagar, New Delhi",4.4,1179,626
Dasaprakash,"South Indian, North Indian, Chinese, Beverages, Desserts, Continental",800," Hajipur, Noida",4.4,921,8337
Indus Flavour,"North Indian, Chinese, Fast Food",900," Delhi University-GTB Nagar, New Delhi",4.4,2366,8004
Paparizza-Woodfired Pizzas,"Pizza, Italian, Fast Food, BBQ, Salad, Desserts, Beverages",500," Delhi University-GTB Nagar, New Delhi",4.4,4403,5925
Tres,"European, Italian, Desserts, Beverages",3000," Lodhi Colony, New Delhi",4.4,624,448
Big Yellow Door,"Cafe, Italian, Beverages, Desserts, Fast Food",800," Delhi University-GTB Nagar, New Delhi",4.4,2602,1576
Ottimo At West View - ITC Maurya,"European, Italian",6600," ITC Maurya, Chanakyapuri, New Delhi",4.4,398,0
Town Hall,"Japanese, Thai, Italian, Asian, Pizza, European",2500," Khan Market, New Delhi",4.4,1828,25
FO - Food Overloded,"Fast Food, Chinese, North Indian, Italian, Pizza, Pasta",700," Paschim Vihar, New Delhi",4.4,888,5169
